PNF Using Parallel Collections
By Miguel Nistal
27 March 2020
Cores: 4
Hosts: 192.168.1.108, 192.168.1.140
Candidate           Perfect       T1         TN           R          e
6                    YES       0.00s       1.28s       0.00       0.00
28                   YES       0.00s       0.02s       0.00       0.00
496                  YES       0.00s       0.02s       0.00       0.00
8128                 YES       0.00s       0.02s       0.03       0.02
33550336             YES       0.71s       0.10s       6.80       3.40
33550337              no       0.65s       0.12s       5.61       2.80
8589869057            no      96.40s      16.25s       5.93       2.97
8589869056           YES      97.49s      17.33s       5.63       2.81
137438691328          no     340.49s      37.06s       9.19       4.59
2305843008139952128   no     334.30s      35.16s       9.51       4.75
